InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,IsPromotion,Sex,Region
370859,44142.0,Remain,3,31/08/2023 13:21,28.08,95496,Australia,No,Female,South
455672,37036.0,Officer,19,18/11/2023 21:10,38.73,56057,Australia,Yes,Female,South
824795,69973.0,Program,11,03/07/2023 06:52,20.5,55855,Australia,No,Female,East
490051,96135.0,Simple,10,06/12/2023 10:04,46.28,34631,Canada,Yes,Female,South
549040,24211.0,Particularly,10,23/02/2024 15:18,7.54,46774,United Kingdom,Yes,Female,West
697534,21136.0,Send,7,01/04/2023 21:39,13.34,36631,Canada,No,Male,South
307304,31789.0,Better,1,18/03/2024 09:56,30.23,56881,France,No,Female,South
88406,59412.0,Natural,2,03/03/2024 19:02,12.27,32500,France,No,Female,West
797210,24585.0,Candidate,8,07/06/2023 16:19,46.38,81449,Australia,Yes,Female,North
46041,10588.0,Bank,16,04/02/2024 02:04,28.74,92055,France,Yes,Male,East
864526,14595.0,Nation,14,02/03/2024 17:40,11.84,24742,Australia,Yes,Male,West
760520,54386.0,Democrat,20,11/07/2023 01:21,4.52,27583,Canada,No,Male,West
775000,68149.0,Experience,7,20/05/2023 10:30,14.86,46427,United Kingdom,Yes,Male,West
470935,10545.0,Remember,9,01/07/2023 09:08,47.83,39717,France,No,Female,South
311622,43674.0,Find,16,11/02/2024 12:21,27.36,51640,Australia,Yes,Female,South
618116,35359.0,Many,5,10/07/2023 09:20,40.85,59176,Australia,Yes,Male,North
53752,80444.0,Also,13,07/10/2023 01:07,11.12,72084,United States,Yes,Male,South
940677,43839.0,Picture,6,16/06/2023 22:54,37.33,20232,Germany,Yes,Female,West
814700,44021.0,Western,8,22/01/2024 11:20,38.9,63054,Germany,Yes,Female,East
692082,30179.0,Cold,12,02/05/2023 23:17,2.28,43131,Australia,Yes,Male,West
246371,45749.0,Since,1,20/10/2023 16:40,25.25,67680,United Kingdom,No,Female,East
953736,75110.0,Discussion,15,13/07/2023 03:56,49.08,51286,Canada,Yes,Male,West
156644,84462.0,Relate,3,30/06/2023 15:28,43.39,83751,United Kingdom,Yes,Male,North
100086,23804.0,Stuff,15,04/11/2023 04:27,11.97,28026,France,Yes,Female,North
324904,47842.0,Red,18,16/06/2023 09:55,21.57,76650,United Kingdom,Yes,Female,North
539679,13271.0,Close,20,24/10/2023 18:58,5.56,46805,Canada,Yes,Male,South
449013,43151.0,We,11,07/04/2023 05:08,2.58,75063,Australia,No,Male,South
372555,39410.0,Understand,17,17/12/2023 02:31,24.49,80852,Germany,No,Female,East
415598,77456.0,Year,3,28/07/2023 05:26,2.15,36152,Australia,Yes,Male,West
288127,60799.0,Recognize,13,18/12/2023 22:22,48.42,85931,Germany,No,Male,West
351998,70160.0,Policy,3,03/12/2023 05:13,43.18,17520,Australia,No,Female,West
267040,74552.0,Eat,2,01/07/2023 02:29,12.79,42462,United Kingdom,No,Male,East
751230,23504.0,Particularly,16,12/03/2024 20:51,36.04,19289,Canada,Yes,Male,West
256828,53282.0,Sense,5,12/09/2023 05:18,8.59,7265,France,No,Female,South
728420,22191.0,Hope,2,17/08/2023 13:55,20.61,32273,France,No,Female,East
378001,20958.0,Hour,11,20/06/2023 14:33,45.56,26860,United Kingdom,Yes,Male,North
573901,46882.0,About,12,06/12/2023 17:40,36.09,91540,Germany,Yes,Male,West
488939,87542.0,President,3,07/06/2023 22:36,17.83,43817,United States,No,Male,North
807979,35073.0,Lawyer,2,10/07/2023 12:39,27.09,66153,United States,Yes,Female,West
768982,92828.0,Increase,7,04/02/2024 04:03,25.88,84699,France,Yes,Male,North
717833,96196.0,Ever,10,10/01/2024 21:31,5.28,63012,Australia,Yes,Male,South
360897,64419.0,Either,9,10/12/2023 02:39,26.26,24352,United States,Yes,Female,West
12954,75350.0,Along,13,25/06/2023 13:54,4.26,15448,Australia,Yes,Female,North
755201,36824.0,Physical,15,12/09/2023 18:32,46.4,8410,United States,Yes,Male,West
776059,55579.0,Reality,7,05/09/2023 01:05,7.52,57825,Canada,Yes,Female,North
374527,15686.0,Manager,16,22/10/2023 00:02,39.51,24075,United Kingdom,No,Female,North
409515,41373.0,Goal,11,25/12/2023 07:15,20.29,97291,Germany,Yes,Female,West
253975,50851.0,Ok,17,22/05/2023 12:04,0.94,52095,United Kingdom,Yes,Female,North
636344,30579.0,Practice,1,29/05/2023 22:01,39.08,30181,United States,Yes,Female,North
360705,58428.0,Interesting,12,02/07/2023 06:06,34.85,90185,Australia,Yes,Female,North
582990,45348.0,Scene,1,03/02/2024 22:43,42.93,52818,Germany,No,Female,East
342546,23728.0,Value,1,16/02/2024 15:22,21.15,39808,United States,Yes,Female,South
15945,80359.0,Every,17,29/03/2023 12:40,16.02,64285,United Kingdom,Yes,Male,South
986299,17925.0,Charge,11,20/07/2023 04:57,21.24,94587,Germany,Yes,Male,East
761846,56044.0,Beautiful,4,13/01/2024 23:19,20.97,82487,Canada,Yes,Female,West
467742,,Experience,7,16/03/2024 11:35,35.11,51524,Australia,Yes,Male,East
877600,65725.0,Cold,18,26/10/2023 13:14,26.53,13815,Australia,Yes,Female,East
708007,80080.0,Article,8,26/10/2023 15:22,45.34,75115,Canada,No,Female,West
825266,28106.0,Into,18,13/07/2023 15:09,38.27,76720,France,No,Male,East
